,track_name,track_artist,lyrics
12017,Hysteria,Muse,"[Verse 1]
It's bugging me, grating me
And twisting me around
Yeah, I'm endlessly caving in
And turning inside out

[Chorus]
'Cause I want it now, I want it now
Give me your heart and your soul
And I'm breaking out, I'm breaking out
Last chance to lose control

[Verse 2]
Yeah, it's holding me, morphing me
And forcing me to strive
To be endlessly cold within
And dreaming I'm alive

[Chorus]
'Cause I want it now, I want it now
Give me your heart and your soul
I'm not breaking down, I'm breaking out
Last chance to lose control

[Guitar Solo]

[Chorus]
And I want you now, I want you now
I'll feel my heart implode
And I'm breaking out, escaping now
Feeling my faith erode
"
12028,Last Nite,The Strokes,"[Verse 1]
Last night, she said
""Oh, baby, I feel so down
Oh, it turn me off
When I feel left out""
So I, I turned 'round
Oh, baby, don't care no more
I know this for sure
I'm walkin' out that door
Well, I've been in town for just 'bout fifteen, oh, minutes now
And, baby, I feel so down
And I don't know why
I keep walkin' for miles

[Chorus]
And see people, they don't understand
No, girlfriends, they can't understand
Your grandsons, they won't understand
On top of this, I ain't ever gonna understand

[Verse 2]
Last night, she said
""Oh, baby, don't feel so down
Oh, it turn me off
When I feel left out""
So I, I turned 'round
Oh, baby, gonna be alright
It was a great big lie
'Cause I left that night, yeah

[Guitar Solo]

[Chorus]
Oh, people, they don't understand
No, girlfriends, they don't understand
In spaceships, they won't understand
And me, I ain't ever gonna understand

[Verse 1]
Last night, she said
""Oh, baby, I feel so down
See, it turn me off
When I feel left out""
So I, I turned 'round
Oh, little girl, I don't care no more
I know this for sure
I'm walkin' out that door, yeah
"
12005,Smooth,Santana,"[Verse 1]
Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason, the step in my groove, yeah

[Pre-Chorus]
And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

[Chorus]
And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it

[Verse 2]
Well, I'll tell you one thing
If you would leave it'd be a crying shame
In every breath and every word
I hear your name callin' me out
Out from the barrio, you hear my rhythm on your radio
You feel the turnin' of the world so soft and slow
Turnin' you round and round

[Pre-Chorus]
And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

[Chorus]
And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, yeah

[Guitar Solo]

[Chorus]
And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, damn

[Outro]
Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
(Gimme your heart, make it real) Or else forget about it, hey
Let's don't forget about it, no, oh, no
Oh, let's don't forget about it, no, no, no
Oh, let's don't forget about it, hey, no, no
Oh, let's don't forget about it, hey, hey, hey
"
12010,Dark Necessities,Red Hot Chili Peppers,"[Verse 1]
Comin' on to the light of day, we got
Many moons that are deep at play so I
Keep an eye on the shadow smile to see what it has to say
You and I both know, everything must go away
Ah, what do you say?
Spinnin' knot that is on my heart is like a
Bit of light in a touch of dark, you got
Sneak attack from the zodiac but I see your fire spark
Eat the breeze and go, blow by blow and go away
Oh, what do you say? Yeah

[Chorus]
You don't know my mind, you don't know my kind
Dark necessities are part of my design and
Tell the world that I'm falling from the sky
Dark necessities are part of my design

[Verse 2]
Stumble down to the parking lot, you got
No time for the afterthought, they're like
Ice Cream for an Astronaut, well, that's me looking for we
Turn the corner and find the world at your command
Playin' the hand, yeah

[Chorus]
You don't know my mind, you don't know my kind
Dark necessities are part of my design
Tell the world that I'm falling from the sky
Dark necessities are part of my design

[Bridge]
Do you want this love of mine? Darkness helps us all to shine
Do you want it, do you want it now?
Do you want it all the time? But darkness helps us all to shine
Do you want it, do you want it now?

[Verse 3]
Ah, pick you up like a paperback with the
Track record of a maniac so I
Move it in and we unpack, it's the same as yesterday
Any way we roll, everything must go away
Oh, what do you say? Yeah

[Chorus]
You don't know my mind, you don't know my kind
Dark necessities are part of my design
Tell the world that I'm falling from the sky and
Dark necessities are part of my design

[Outro]
Ah-ah-ah
Ah-ah
Ah-ah-ah
Ah-ah
Ah-ah-ah
Ah-ah
Ah-ah-ah
Ah-ah
"
12044,Coffee and TV,Blur,"[Verse 1]
Do you feel like a chainstore?
Practically floored
One of many zeros
Kicked around, bored
Your ears are full but you're empty
Holding out your heart
To people who never really
Care how you are

[Chorus]
So give me coffee and TV
Easily
I've seen so much, I'm going blind
And I'm brain-dead, virtually
Sociability
It's hard enough for me
Take me away from this big, bad world
And agree to marry me
So we can start over again

[Verse 2]
Do you go to the country?
It isn't very far
There's people there who will hurt you
Because of who you are
Your ears are full of the language
There's wisdom there, you're sure
Until the words start slurring
And you can't find the door

[Chorus]
So give me coffee and TV
Easily
I've seen so much, I'm going blind
And I'm brain-dead, virtually
Sociability
It's hard enough for me
Take me away from this big, bad world
And agree to marry me
So we can start over again

[Instrumental Bridge]

[Chorus]
So give me coffee and TV
Easily
I've seen so much, I'm going blind
And I'm brain-dead, virtually
Sociability
It's hard enough for me
Take me away from this big, bad world
And agree to marry me
So we can start over again

[Outro]
Oh, we could start over again
Oh, we could start over again
Oh, we could start over again
Oh, we could start over again

[Instrumental Outro: ""Coffee & TV Exitlude""]
"
12003,Angels,Robbie Williams,"[Verse 1]
I sit and wait
Does an angel contemplate my fate?
And do they know the places where we go
When we're grey and old?
'Cause I've been told
That salvation lets their wings unfold
So when I'm lying in my bed
Thoughts running through my head
And I feel that love is dead
I'm lovin' angels instead

[Chorus]
And through it all
She offers me protection
A lot of love and affection
Whether I'm right or wrong
And down the waterfall
Wherever it may take me
I know that life won't break me
When I come to call
She won't forsake me
I'm lovin' angels instead

[Verse 2]
When I'm feeling weak
And my pain walks down a one-way street
I look above
And I know I'll always be blessed with love
And as the feeling grows
She breathes flesh to my bones
And when love is dead
I'm lovin' angels instead

[Chorus]
And through it all
She offers me protection
A lot of love and affection
Whether I'm right or wrong
And down the waterfall
Wherever it may take me
I know that life won't break me
When I come to call
She won't forsake me
I'm lovin' angels instead

[Instrumental Bridge]

[Chorus]
And through it all
She offers me protection
A lot of love and affection
Whether I'm right or wrong
And down the waterfall
Wherever it may take me
I know that life won't break me
When I come to call
She won't forsake me
I'm lovin' angels instead
"
12009,Closer,Travis,"[Verse 1]
I've had enough of this parade
I'm thinking of the words to say
We open up unfinished parts
Broken up, it's so mellow

[Pre-Chorus]
And when I see you then I know it will be next to me
And when I need you then I know you will be there with me
I'll never leave you

[Chorus]
Just need to get closer, closer
Lean on me now, lean on me now
Closer, closer
Lean on me now, lean on me now

[Verse 2]
Keep waking up (Waking up), without you here (Without you here)
Another day (Another day), another year (Another year)
I seek the truth (Seek the truth), we set apart (We set apart)
Second dance, second chance (Second chance)

[Pre-Chorus]
And when I see you then I know it will be next to me
And when I need you then I know you will be there with me
I'll never leave you

[Chorus]
Just need to get closer, closer
Lean on me now, lean on me now
Closer, closer
Lean on me now, lean on me now, lean on me now

[Pre-Chorus]
And when I see you then I know it will be next to me
And when I need you then I know you will be there with me
I'll never leave you

[Chorus]
Just need to get closer, closer
Lean on me now, lean on me now
Closer, closer
Lean on me now, lean on me now, lean on me now

[Outro]
Closer, closer
Closer, closer
"
12016,Madness,Muse,"[Refrain]
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad

[Verse 1]
I, I can't get these memories out of my mind
And some kind of madness is starting to evolve, mm
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
And I, I tried so hard to let you go
But some kind of madness is swallowing me whole, yeah
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)

[Chorus]
I have finally seen the light
And I have finally realised
What you mean

[Post-Chorus]
Hoo, huh-huh-huh-hoo

[Verse 2]
Now, I need to know, is this real love
Or is it just madness keeping us afloat? Mm
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
And when I look back at all the crazy fights we had
It's like some kind of madness was taking control, yeah
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)

[Chorus]
Now, I have finally seen the light
And I have finally realised
What you need

[Post-Chorus]
Hoo, huh-huh-huh-huh-hoo

[Guitar Solo]

[Refrain]
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)

[Chorus]
Now, I have finally seen the end (Finally seen the end)
And I'm not expecting you to care, no (Expecting you to care)
That I have finally seen the light (Finally seen the light)
And I have finally realised (Realised)
I need your love
I need your love

[Outro]
Come to me, just in a dream
Come on and rescue me
Yes, I know, I can be wrong
And baby, you're too headstrong
Our love is...

[Refrain]
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-madness
"
12031,Stockholm Syndrome,Muse,"[Verse 1]
I won't stand in your way
Let your hatred grow
And she'll scream and she'll shout and she'll pray
And she had a name, yeah, she had a name

[Verse 2]
I won't hold you back
Let your anger rise
And we'll fly and we'll fall and we'll burn
No one will recall, no one will recall

[Chorus]
This is the last time I'll abandon you
And this is the last time I'll forget you
I wish I could

[Verse 3]
Look to the stars
Let hope burn in your eyes
And we'll love and we'll hate and we'll die
All to no avail, all to no avail

[Chorus]
This is the last time I'll abandon you
And this is the last time I'll forget you
I wish I could

[Instrumental Break]

[Chorus]
This is the last time I'll abandon you
And this is the last time I'll forget you
I wish I could

[Outro]
I wish I could
"
12026,Undisclosed Desires,Muse,"[Verse 1]
I know you've suffered, but I don't want you to hide
It's cold and loveless, I won't let you be denied

[Pre-Chorus 1]
Soothing, I'll make you feel pure
Trust me, you can be sure

[Chorus]
I want to reconcile the violence in your heart
I want to recognise your beauty is not just a mask
I want to exorcise the demons from your past
I want to satisfy the undisclosed desires in your heart

[Verse 2]
You trick your lovers that you're wicked and divine
You may be a sinner, but your innocence is mine

[Pre-Chorus 2]
Please me, show me how it's done
Tease me, you are the one

[Chorus]
I want to reconcile the violence in your heart
I want to recognise your beauty is not just a mask
I want to exorcise the demons from your past
I want to satisfy the undisclosed desires in your heart

[Pre-Chorus 2]
Please me, show me how it's done
Trust me, you are the one

[Chorus]
I want to reconcile the violence in your heart
I want to recognise your beauty is not just a mask
I want to exorcise the demons from your past
I want to satisfy the undisclosed desires in your heart
"
