,Unnamed: 0,track_name,track_artist,lyrics
0,21020,Girl Next Door,Musiq Soulchild,"[Hook: Musiq Soulchild]
If I would've knew the girl next door
Would've been you
I would've been nice to you
A little more kind to you
I would've looked twice at you
If I would've knew the girl next door
Would've been you
I probably would've shared my grub
Depending on how close we was
By now we would be so in love

[Verse 1: Musiq Soulchild]
Girl I'm so surprised to see
The young, fine woman that you grew up to be
Your body's banging like a 400-SE
Even your attitude flows pleasantly
I remember when you was just Tonya Hall
A girl that likes to play basketball
As far as I was concerned, you were one of my boys
I never cared about my sex or yours, but...

[Hook: Musiq Soulchild]
If I would've knew the girl next door
Would've been you
I would've been nice to you
A little more kind to you
I would've looked twice at you
If I would've knew the girl next door
Would've been you
I probably would've shared my grub
Depending on how close we was
By now we would be so in love

[Verse 2: Musiq Soulchild]
I'm happy to see that you're home from school
And I wanna let you know that I'm proud of you
Even when we was younger, I admired you
That's why I used to always pick fights with you
I remember when we used to call each other names
Mimic old tv shows and play those childish games
Like I was your Tarzan and you were my Jane
Can we do that nowadays?

[Hook: Musiq Soulchild]
If I would've knew the girl next door
Would've been you
I would've been nice to you
A little more kind to you
I would've looked twice at you
If I would've knew the girl next door
Would've been you
I probably would've shared my grub
Depending on how close we was
By now we would be so in love

[Hook: Ayana]
If I would've knew the boy next door would've been you
I would've been nice to you
Spent a little time with you
I would've dressed cuter too
If I would've knew the boy next door
Would've been you
I would've been on your team
When we played hide and seek
Instead of you chasing me

[Bridge: Ayana (& Musiq Soulchild)]
You're so fly now
(Girl stop playing)
I didn't know you were that guy now
(Naw I ain't)
Phat car, phat life
Impressed I am
Oh maybe we could jam like we used to baby

[Hook: Musiq Soulchild]
If I would've knew the girl next door
Would've been you
I would've been nice to you
A little more kind to you
I would've looked twice at you
If I would've knew the girl next door
Would've been you
I probably would've shared my grub
Depending on how close we was
By now we would be so in love
"
1,21031,Certainly,Erykah Badu,"Who gave you permission to rearrange me
Certainly not me
Who told you that it was alright to love me
Certainly not me

I was not looking for no love affair, baby
And now you wanna fix me
I was not looking for no love affair, papa
And now you want to mould me
Was not looking for no love affair, baby
Now you wanna kiss me
Was not looking for no love affair
And now you wanna control me
Hold me

I know you're tryna' get creative with my love
And that's alright, but
You tried to get a little tricky, turned my back
And then you slipped me a mickey

Certainly Certainly (You I know I wasn't ready)
Certainly Certainly (for that mickey baby!)
Certainly Certainly
Certainly Certainly

The world is mine
When I wake up
I don't need nobody telling me the time

Who gave you permission to rearrange me
Certainly not me
Who told you that it was alright to love me
Certainly, certainly not me

I was not looking for no love affair, papa
And now you wanna fix me
I was not looking for no love affair
And now you want to mould me
Was not looking for no love affair
Now you wanna kiss me
Was not looking for no love affair
And now you wanna control me
Hold me

I know you're tryna' get creative with my love
And that's alright, but
You tried to get a little tricky, turned my back
And then you slipped me a mickey

Certainly Certainly
Certainly Certainly
Certainly Certainly
Certainly Certainly

You know that the world is mine
When I wake up
I don't nobody telling me the time, no!
The world is mine, mine, mine, mine
I don't need no little rollin over looking after me!

[Outro]
"
2,21021,143,Musiq Soulchild,"[Verse 1]
How many times have I called you
While you were working, just to say
Left messages on your answer machine
About 3 or 4 times a day

[Hook]
There aren't many more ways in words that I can say
So i'll just say numerically
From my heart to you - one-four-three

[Verse 2]
So many times I've bought roses
Just to see that smile on your face
I can't remember how many e-mails I sent you
Just to tell you 'bout my day

[Hook]
There aren't many more ways in words that I can say
So i'll just say numerically
From my heart to you - one-four-three

[Bridge]
Girl you know you are so special to me
And you deserve to be treated exclusively

[Verse 3]
I treat you like Valentines Day 365 a year
Make sure that everything you need will always be right here
Now I just refuse to be your typical ordinary run of the mill
Garden variety lover
(ooh oh oh)

[Verse 4]
I'll make sure everyday you live will be like Christmas Eve
I wanna make you feel fine just like a summer breeze
Cause I refuse to be your predictable average run of the mill
Garden variety love
(ohh ohh oh)

[Verse 5]
See sometimes words may get in the way
Of things that you really really meant to say
So I wanna take out this time to
Make sure that how I really feel gets through to you
Cause listen
There aren't many more ways and words that I can say
So I choose to tell you how I feel in a numerical way
Got so tired of trying to find the most complicated way
To say it to you so I simplified and broke it down
To one-four-three - and that means I love you
Sugar you know yeah yeah yeah yeah
Ohh
"
3,21007,Two Steps,Alice Russell,"Autonomy and chemistry
And then it's silly you and then silly me
I'm feeling good and I'm feeling mighty bad
You got to treasure before the good turns bad

Autonomy and chemistry
And then it's silly you and then silly me
I'm feeling good and I'm feeling mighty bad
You got to treasure before the good turns bad

We take two steps forward and then ten steps back
Two steps forward and then ten steps back
Two steps forward and then ten steps back
Two steps forward and then ten

And yes, it gets emotional
Those feeling that come up between a boy and girl
And all those words you said you know you didn't mean
The ears that heard them now are feeling very sad

Understanding is the thing, the key
To open locks that you never believed to even see
And something there in your very heart
Knows that you'll both be there and you'll never part

We take two steps forward and then ten steps back
Two steps forward and then ten steps back
Two steps forward and then ten steps back
Two steps forward and then ten

Domestic bliss on a cloud named nine
Sweet sexiness, soft caress could be be yours and mine
A cloud named nine

Two steps forward and then ten steps back
Two steps forward and then ten steps back
Two steps forward and then ten steps back
Two steps forward and then ten steps back

And then the girls sing
And then the boys sing
Let's sing together

Good thoughts and feelings into the love machine
Good thoughts and feelings into the love machine
Good thoughts and feelings into the love machine
Good thoughts and feelings into the love machine

We're malfunctioning like robot love
We're malfunctioning like robot love
We're malfunctioning like robot love
We're malfunctioning like robot love
"
4,21030,"Gone Baby, Don't Be Long",Erykah Badu,"[Verse 1]
As the wind blows in passing
Baby I think I'm fallin in love with you
Where you go when you gone baby? Whatcha do?
I know you gotta get your hustle on

[Chorus]
So gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long

[Verse 2]
Where you going with your stuff?
Baby, what's the rush?
You got me feelin like a girl with a fiendish crush - hey
When you're gone, where you go, boy I miss you much
But I know you got to get your hustle on

[Chorus]
So gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long
Oooh
Gone baby, gone baby, don't be long
I know you got to get your hustle on
So gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long
Oooh
Gone baby, gone baby, don't be long
I know you got to get your hustle on

[Post-Chorus]
I can't wait, to see what you'll do
It's not too much, to follow you through
Ooh, I can't wait, to see what you'll be
I'm gon' be here, 'cause I believe
So gone, gone baby

[Verse 3]
There's only one thing I'm still askin..
Why is it I feel you masking?
If this love that you feel is really real
And I know you got to get yo' hustle on

[Verse 4]
You laugh when you ask, ""Baby, what's the rush?"" (No-ho, baby)
When we touch, wanna know if it's love or lust, oh
Uh, cause I feel like a girl with a feindish crush
And I know you got to get your hustle on

[Chorus]
So gone
So gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long
Ooooh
Gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long

[Post-Chorus]
I can't wait, to see how you move
I like to watch, you do what you do
Ooh, I can't wait to see what you'll be
I'm gon' be here, cause I believe
So gone, gone baby

[Chorus]
Gone baby, gone baby, don't be long
So gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long
Ooooh
Gone baby, gone baby, don't be long
Gone baby, gone baby, don't be long
"
5,21024,Talk To Her,India.Arie,"[Chorus]
When you talk to her talk to her
Like you want somebody to talk to your mama
Don't get smart with her have a heart to heart with her
Just like you would with your daughter
'Cause everything you do or say
You gotta live with it everyday
She's somebody's baby
She's somebody's sister
She's somebody's mama

[Verse 1]
Now when you go to her, speak truthfully
Be honest as you can be, from your heart
You're in a situation, where you're losing patience
Take your time and look her in the eye
When you just can't find the words you want
And it's hard to reach a point
Where you both can understand
Don't just tell the truth, but tell the whole truth
It'll make a better man outta you

[Chorus]
When you talk to her talk to her
Like you want somebody to talk to your mama
Don't get smart with her have a heart to heart with her
Just like you would with your daughter
'Cause everything you do or say
You gotta live with it everyday
She's somebody's baby
She's somebody's sister
She's somebody's mama

[Verse 2]
It doesn't matter if she's wearing
A mini skirt or a business suit
Whether she's 25 or 99
Treat her the way your mama taught you to
She could be the Queen of Sheba
She could be a school teacher
A home maker or a lawyer
I think it's good for your Karma
If...

[Chorus]
When you talk to her talk to her
Like you want somebody to talk to your mama
Don't get smart with her have a heart to heart with her
Just like you would with your daughter
'Cause everything you do or say
You gotta live with it everyday
She's somebody's baby
She's somebody's sister
She's somebody's mama

[Bridge]
Now let's keep it real
Nothing in this world could ever exist
Without it's opposite
There has to be a sun and moon
A man and a woman
And that's just the way it is
Humanity's lopsided
And everyone's fighting
How do we restore the peace?
Mother earth is hurtin'
'Cause everyone is searchin'
For the feminine energy
You got to talk to her...

[Chorus]
When you talk to her talk to her
Like you want somebody to talk to your mama
Don't get smart with her have a heart to heart with her
Just like you would with your daughter
'Cause everything you do or say
You gotta live with it everyday
She's somebody's baby
She's somebody's sister
She's somebody's mama

[Post-Chorus]
When you talk to her talk to her
Like you want somebody to talk to your mama
Just like you fight for your sister
If you knew that somebody dissed her
How you gonna care for your daughter
Turn around and talk bad about her mama?
Same way you listen to your auntie
Never interrupt while she speaks
Make your words sweet like candy
As if you were talking to your granny yeah

[Outro]
If you really loved then (say so)
If you really needed then (say so)
Love the way she thinks (say so)
You love the way she speaks (say so)
When you need some good conversation (say so)
Say so (say so)
If you want her in your life (say so)
You want her to be your wife (say so)
Tell her she's your best friend (say so) (alright)
You'll be there to the end (alright)(say so)
If you're thinking about leaving (say so)
If you wonder where she's going (say so)
If you need to breathe with her (say so)
You just want to be with her (say so)
If you love her hair (say so)
If you wanted her (say so)
Tell me if you really wanted her (say so)
You wanna slap her down (say so)
Say so...
(You better not hit no woman, you crazy?
You done bumped yo' head.)
If you feel like loving (say so)
If you wanna feel her hugging (say so)
"
6,21045,Used To Love U,John Legend,"[Produced by Kanye West]

[Intro]
Holla, holla, hollaaaaa
Holla, holla, hollaaaaa

[Verse 1]
Maybe it's me, maybe I bore you
No, no it's my fault 'cause I can't afford you
Maybe Baby, Puffy or Jay-Z
Would all be better for you
'Cause all I could do was love you

[Chorus]
Baby when I used to love you
There's nothin' that I wouldn't do
I went through the fire for you
Anything you asked me to
But I'm tired of livin' this lie
It's gettin' harder to justify
I realize that I just don't love you
Not like I used to

[Post-Chorus]
Holla, holla, hollaaaaa (yeaaahh)
Holla, holla, hollaaaaa (yeah, yeah, uh, uh)

[Verse 2]
Maybe I should rob somebody
So we could live like
Whitney and Bobby
It's probably my fault
My bad, my loss
But you are above 'cause
All I could do was love you

[Chorus]
Baby when I used to love you
There's nothin' that I wouldn't do
I went through the fire for you
Anything you asked me to
But I'm tired of livin' this lie
It's gettin' harder to justify
I realize that I just don't love you
Not like I used to

[Post-Chorus]
Holla, holla, hollaaaaa (yeaaahh)
Holla, holla, hollaaaaa (yeah, yeah, uh, uh)

[Bridge]
Oh! I used to (Do you remember when I used to)
Love you (Used to love you)
Oh! But I don't, not you (Baby no not anymore, I don't love you)
Love you (Ooooh, used to love you)
Oh! I used to love you
(Ohhh, used to love you)
And you're gonna miss me now, ohhh

[Chorus]
Baby, when I used to love you
There's nothin' that I wouldn't do
I went through the fire for you
But I'm not gonna play the fool
No, I can't live this life
And I can't justify
And I can't make up my life
I don't love you
Not like I used to do

[Post-Chorus]
Holla, holla, hollaaaaa (yeaaahh)
Not like I used to
Holla, holla, hollaaaaa (yeah, yeah, uh, uh)
Not like I used to

[Outro]
Oh! I used to (Do you remember when I used to)
Love you
(used to... Love you)
Oh! But I don't, not you
(baby no not anymore... I don't love you)
Oh! I used to love you
Love you (ooooh, used to ... love you)
Oh! But I don't, not you
(baby no not any more... I don't love you)
Oh! I used to love you
You're gonna miss me now... 'cause I (Ohhh used to love you)
Oh! But I don't - not you
(baby no not anymore... I don't love you)
You're gonna miss me now...cause I
Oh! But I don't - not you
(baby no not any more... I don't love you)
"
7,21000,Wilhelm Scream,The Bamboos,"I don't know about my dreams
I don't know about my dreamin' anymore
All that I know is
I'm fallin, fallin', fallin', fallin'
Might as well fall in

I don't know about my love
I don't know about my lovin' anymore
All that I know is
I'm fallin', fallin', fallin', fallin'
Might as well fall in

I don't know about my dreams
I don't know about my dreamin' anymore
All that I know is
I'm fallin', fallin', fallin', fallin'
Fallin'

I don't know about my love
I don't know about my lovin' anymore
All that I know is
I'm lovin', fallin', lovin', lovin'
Might as well love you

I don't know about my love
I don't know about my lovin' anymore
All that I know is
I'm turnin', turnin', turnin', turnin'
Might as well turn in

I don't know about my dreams
I don't know about my dreamin' anymore
All that I know is
I'm fallin', fallin', fallin', fallin'
Might as well fall in

I don't know about my love
I don't know about my lovin' anymore
All that I know is
I'm fallin', fallin', fallin', fallin'
Might as well fall in

I don't know about my dreams
I don't know about my dreamin' anymore
All that I know is
I'm fallin', fallin', fallin', fallin'
Fallin'

I don't know about my love
I don't know about my lovin' anymore
All that I know is
I'm lovin', lovin', lovin', lovin'
Might as well love you

I don't know about my dreams
I don't know about my dreamin' anymore
All that I know is
I'm fallin', fallin', fallin', fallin'
Might as well fall in
"
8,21004,Baltimore,Jazmine Sullivan,"[Verse 1]
Beat-up little seagull on a marble stair
Tryin' to find the ocean, lookin' everywhere
Hard times in the city, in a hard town by the sea
Ain't nowhere to run to, there ain't nothin' here for free
Hooker on the corner, (corner) waiting for a train
Drunk lying on the sidewalk, sleeping in the rain
And the people hide their faces (faces) as they hide their eyes(hide their eyes)
Cause the city's dyin' and they don't know why
Cause they don't know why

[Chorus]
Oh, Baltimore, ain't it hard just to live?
Oh, Baltimore, ain't it hard just to live?
Just to live

[Verse 2]
Get my sister Sandy and my little brother Ray
Buy a big old wagon to haul us all away
I Live out in the country where the mountain's high
I'm never gonna come back here 'till the day I die

[Chorus]
Oh, Baltimore, ain't it hard just to live?
Oh, Baltimore, ain't it hard just to live?
Just to live

Just to live
No its hard to live in the city,hey, Oh
We're gonna make it somehow, hey

[Outro]
Just believe
We're gonna make it somehow, Uuhhh
Hard living in the city, City Uuhhh, Oohhh

[?]
"
9,21019,until,Musiq Soulchild,"[Verse 1]
If the winter springs or the summer falls
It won't have no effect on this love at all
If in another time I was you and you was I
You know I'd still recognize you all the same
This kinda love don't ever change cause

[Hook]
I'll be lovin' you till' the sun starts shinin' blue
And the seas talk back to you
Girl I'll still be there, be there
Lovin' you until all of time is standin' still
Nothin's ever been as real to me as this love
This love, this love
Lovin' you until 2073
We'll still be together in 2084
In love more than ever in 2093
This love just won't ever end
2000 until 2000 until 2000
Until 2000 and forever

[Verse 2]
Yeah, now if dreams could dream  just like people do
I believe they'd dream the dream
Of the love between me and you
And even though we'll fight
And may not get along sometimes
It's cool cause I know that if I fight with you
Cry with you, I can make it up all night with you, so

[Hook]
I'll be lovin' you till' the sun starts shinin' blue
And the seas talk back to you
Girl I'll still be there, be there
Lovin' you until all of time is standin' still
Nothin's ever been as real to me as this love
This love, this love
Lovin' you until 2073
We'll still be together in 2084
In love more than ever in 2093
This love just won't ever end
2000 until 2000 until 2000
Until 2000 and forever

[Bridge]
And forever, if love ever fades away
We'll still find some to make cause time
Don't apply to you and I
Cause this love goes as far as eternity
Way beyond infinity and long after we're dead
And gone we'll still be holdin' on cause

[Hook]
I'll be lovin' you till' the sun starts shinin' blue
And the seas talk back to you
Girl I'll still be there, be there
Lovin' you until all of time is standin' still
Nothin's ever been as real to me as this love
This love, this love
Lovin' you until 2073
We'll still be together in 2084
In love more than ever in 2093
This love just won't ever end
2000 until 2000 until 2000
Until 2000 and forever
"
